epoch,loss,accuracy,top_5_accuracy,val_loss,val_accuracy,val_top_5_accuracy,lr
1,2.568425135564078,0.47676078680203043,0.7044733502538071,1.0724204554592809,0.7684487951807228,0.8957078313253012,0.001
2,0.63430262258664,0.8488261421319797,0.9777918781725888,0.7793119489930638,0.8365963855421686,0.9171686746987951,0.001
3,0.33281806656892227,0.9110881979695431,0.9942893401015228,0.7500370977958735,0.8512801204819277,0.9141566265060241,0.001
4,0.24144122112532937,0.9348032994923858,0.9953997461928934,0.805637966699622,0.8546686746987951,0.9205572289156626,0.001
5,0.21876425110394618,0.9361516497461929,0.9953997461928934,0.7430665404726714,0.8554216867469879,0.9243222891566265,0.001
6,0.19586405257970985,0.9426554568527918,0.9971446700507615,0.8697725228895766,0.8618222891566265,0.9164156626506024,0.001
7,0.15411752233988496,0.9533629441624365,0.9973032994923858,0.9135807576602907,0.8573042168674698,0.9130271084337349,0.001
8,0.1444665531886075,0.9540767766497462,0.9980964467005076,0.8987206947430018,0.860316265060241,0.9216867469879518,0.001
9,0.16361122778578435,0.9493972081218274,0.9964308375634517,1.0831433598844216,0.8512801204819277,0.9175451807228916,0.001
10,0.14070436175585238,0.9574873096446701,0.9973032994923858,0.9079371990385658,0.8637048192771084,0.9254518072289156,0.001
11,0.13774590931527275,0.9590736040609137,0.9971446700507615,0.971729683372102,0.8723644578313253,0.9250753012048193,0.001
12,0.12096060791081244,0.9624841370558376,0.9981757614213198,0.9212937812559554,0.8693524096385542,0.9205572289156626,0.001
13,0.11835801018343477,0.9653394670050761,0.997382614213198,0.9476408392421249,0.8757530120481928,0.922816265060241,0.001
14,0.11631061729347465,0.9635152284263959,0.9978585025380711,0.9981497404052928,0.8685993975903614,0.9262048192771084,0.001
15,0.11436337733729612,0.965260152284264,0.9975412436548223,1.0458252277618043,0.8719879518072289,0.9213102409638554,0.001
16,0.09333904946741747,0.9701776649746193,0.9992861675126904,1.016245520927856,0.8802710843373494,0.9280873493975904,0.001
17,0.11017828341880027,0.967480964467005,0.9980171319796954,0.9629247133413706,0.875,0.9190512048192772,0.001
18,0.0934370720021023,0.9694638324873096,0.9986516497461929,1.1648660399753825,0.8738704819277109,0.9194277108433735,0.001
19,0.10102094420897648,0.9693052030456852,0.9976205583756346,1.0559879598688682,0.8765060240963856,0.9194277108433735,0.001
20,0.10052129109031084,0.9666085025380711,0.998730964467005,1.1083128474045236,0.8685993975903614,0.9205572289156626,0.001
21,0.045771658770067246,0.9846129441624365,0.9992068527918782,0.9315956364188972,0.8904367469879518,0.9213102409638554,0.0003
22,0.026977458877282805,0.9909581218274112,0.9999206852791879,0.8963824418446873,0.8923192771084337,0.922816265060241,0.0003
23,0.02890699175365861,0.9896890862944162,0.9998413705583756,0.9327092777877437,0.8919427710843374,0.9216867469879518,0.0003
24,0.028501743170017833,0.9895304568527918,0.9998413705583756,0.929921256496713,0.8926957831325302,0.920933734939759,0.0003
25,0.021683741313775262,0.9923064720812182,0.9999206852791879,0.946771691259451,0.8926957831325302,0.9243222891566265,0.0003
26,0.02473913030969805,0.9923064720812182,0.9996827411167513,0.9700240118342975,0.8885542168674698,0.9262048192771084,0.0003
27,0.02258218881848817,0.9920685279187818,0.9996827411167513,0.9609316015444516,0.8930722891566265,0.9273343373493976,0.0003
28,0.026542797534003848,0.9915133248730964,0.9998413705583756,0.9466748469836268,0.8934487951807228,0.9295933734939759,0.0003
29,0.026358543525149918,0.9904029187817259,1.0,0.9996810156118768,0.8938253012048193,0.922816265060241,0.0003
30,0.024033597450383942,0.9924651015228426,0.9998413705583756,0.9264354043628781,0.8938253012048193,0.9239457831325302,0.0003
